111111111110,98400,550
222222222222,112800,550
111111111112,98410,550
111111111113,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
222222222222,112800,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
222222222222,112800,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
111111111110,98400,550
333333333333,55500,500
111111111111,98400,550
111111111111,98400,550
111111111111,98400,550
